pca_1,pca_2
-2483.2635073927486,-20.67322840545094
-2474.375869300951,-17.854338502537924
-2467.9047119840266,-20.036804893222342
-1675.0586866087622,94.57358716345051
-2417.528461010657,-11.320102932639019
-2470.695059419481,-21.769715926294037
-2585.953027937752,-36.85407553084285
-2422.9855260484933,-17.957558675677134
-1856.2745763468074,72.11170015553216
-2538.567109332326,-30.664572570774208
-2502.6269591530286,-25.574637663928737
-2584.6285050207525,-37.21582977850499
-2499.5870599586738,-19.586341901308515
-2277.4539630710788,9.425042338433816
-2520.4759404550705,-29.088144251662623
-2509.2817068557783,-27.069727792471312
-2351.660023520734,-5.345822497668131
-2579.888787739433,-34.175025205876786
-2562.535160848561,-33.250099450676814
-2546.9673927247154,-31.093686230216544
-2579.2904330232404,-35.97635097543551
-2458.3729578321727,-23.148514667627243
-2056.8929119476097,42.41753533406189
-2503.626191416683,-26.541170880780633
-2484.496795139967,-23.557337778328876
-2575.2140070976143,-36.27449549659795
-2458.85290296375,-21.497341691215286
-2410.806473224617,-14.269502087582639
-2478.6110350832773,-21.39083303866734
-2558.7187873533985,-34.426402026649804
-2488.9535157708942,-22.08675181689661
-2336.0979410605664,-1.5422040514607467
-2569.640070845645,-36.41136147320496
-2534.9581525700114,-24.1155379863916
-2410.384591926627,-10.007849491678913
-2458.5963753521924,-17.344286580724656
-2462.912341637366,-16.31005886437902
